time,title,url
2017_02_18_10.25.32,Trump: We Must Realize the Full Potential of Women in Our Economy,http://www.breitbart.com/video/2017/02/18/trump-we-must-realize-the-full-potential-of-women-in-our-economy/
2017_02_18_10.25.32,FAKE NEWS: CNBC Cites Left-Wing Politifact in Clinton Russian Uranium Story,http://www.breitbart.com/big-journalism/2017/02/17/fake-news-cnbc-cites-left-wing-politifact-clinton-russian-uranium-story/
2017_02_18_10.25.32,"After 8 Years of Campaigner-in-Chief Obama, NPR Accuses Trump of Permanent Campaign",http://www.breitbart.com/big-government/2017/02/17/after-8-years-of-campaigner-in-chief-obama-npr-accuses-trump-of-permanent-campaign/
2017_02_18_10.25.32,"Former Obama Aide Fined $90,000 for Unethical Lobbying for Uber",http://www.breitbart.com/california/2017/02/18/uber-former-obama-campaign-manager-fined-90000-illegal-chicago-lobbying/
2017_02_18_10.25.32,"Milo, Maher Team to Defend Free Speech",http://www.breitbart.com/video/2017/02/17/watch-full-milo-yiannopoulos-interview-bill-maher-real-time/
2017_02_18_10.25.32,NYT: Bill Maher and Milo Yiannopoulos Find Common Ground,http://www.breitbart.com/milo/2017/02/18/nyt-bill-maher-milo-yiannopoulos-find-common-ground/
2017_02_18_10.25.32,"Larry Wilmore Melts Down, Tells MILO Go F*ck Yourself",http://www.breitbart.com/milo/2017/02/17/larry-wilmore-melts-bill-maher-tells-milo-go-fuck/
